variable,STICS variable,file,unit,description
pebble_type_2,typecailloux_2,sol,"code, 1 to 9","Pebbles type of the second soil layer: 1 = Beauce limestone1, 2 = Beauce limestone, 3 = Lutetian limestone, 4 = Lutetian Brackish marl and limestone, 5 = morainic gravels, 6 = unweathered flint, sandstone or granite, 7 = weathered granite, 8 = Jurassic limestone 9 = Pebbles from Magneraud"
thickness_3,epc_3,sol,cm,Thickness of the third soil layer
BD_3,DAF_3,sol,g/cm3,Bulk density of the third soil layer
FC_3,HCCF_3,sol,g/g %,"Gravimetric water content at field capacity of the third soil layer (in fine earth, dry soil)"
WP_3,HMINF_3,sol,g/g %,"Gravimetric water content at wilting point of the third soil layer (in fine earth, dry soil)"
initial_NO3_3,NO3initf_3,ini,kg N/ha,Initial amount of NO3-N in the third soil layer (in fine earth)
initial_NH4_3,NH4initf_3,ini,kg N/ha,Initial amount of NH4-N in the third soil layer (in fine earth)
pebble_content_3,cailloux_3,sol,%,Volumetric content of pebbles in the third soil layer
pebble_type_3,typecailloux_3,sol,"code, 1 to 9","Pebbles type of the third soil layer: 1 = Beauce limestone1, 2 = Beauce limestone, 3 = Lutetian limestone, 4 = Lutetian Brackish marl and limestone, 5 = morainic gravels, 6 = unweathered flint, sandstone or granite, 7 = weathered granite, 8 = Jurassic limestone 9 = Pebbles from Magneraud"
thickness_4,epc_4,sol,cm,Thickness of the fourth soil layer
BD_4,DAF_4,sol,g/cm3,Bulk density of the fourth soil layer
FC_4,HCCF_4,sol,g/g %,"Gravimetric water content at field capacity of the fourth soil layer (in fine earth, dry soil)"
WP_4,HMINF_4,sol,g/g %,"Gravimetric water content at wilting point of the fourth soil layer (in fine earth, dry soil)"
initial_NO3_4,NO3initf_4,ini,kg N/ha,Initial amount of NO3-N in the fourth soil layer (in fine earth)
initial_NH4_4,NH4initf_4,ini,kg N/ha,Initial amount of NH4-N in the fourth soil layer (in fine earth)
pebble_content_4,cailloux_4,sol,%,Volumetric content of pebbles in the fourth soil layer
pebble_type_4,typecailloux_4,sol,"code, 1 to 9","Pebbles type of the fourth soil layer: 1 = Beauce limestone1, 2 = Beauce limestone, 3 = Lutetian limestone, 4 = Lutetian Brackish marl and limestone, 5 = morainic gravels, 6 = unweathered flint, sandstone or granite, 7 = weathered granite, 8 = Jurassic limestone 9 = Pebbles from Magneraud"
thickness_5,epc_5,sol,cm,Thickness of the fifth soil layer
BD_5,DAF_5,sol,g/cm3,Bulk density of the fifth soil layer
FC_5,HCCF_5,sol,g/g %,"Gravimetric water content at field capacity of the fifth soil layer (in fine earth, dry soil)"
WP_5,HMINF_5,sol,g/g %,"Gravimetric water content at wilting point of the fifth soil layer (in fine earth, dry soil)"
initial_NO3_5,NO3initf_5,ini,kg N/ha,Initial amount of NO3-N in the fifth soil layer (in fine earth)
initial_NH4_5,NH4initf_5,ini,kg N/ha,Initial amount of NH4-N in the fifth soil layer (in fine earth)
pebble_content_5,cailloux_5,sol,%,Volumetric content of pebbles in the fifth soil layer
pebble_type_5,typecailloux_5,sol,"code, 1 to 9","Pebbles type  of the fifth soil layer: 1 = Beauce limestone1, 2 = Beauce limestone, 3 = Lutetian limestone, 4 = Lutetian Brackish marl and limestone, 5 = morainic gravels, 6 = unweathered flint, sandstone or granite, 7 = weathered granite, 8 = Jurassic limestone 9 = Pebbles from Magneraud"
average_windspeed,,sta,m/s,Used to calculate aclim
denitrification,codedenit,sol,"code, 1 to 2","Option to activate the calculation of denitrification model: 1 = yes, 2 = no"
nitrification,codenitrif,sol,"code, 1 to 2","Option to activate the nitrification model: 1 = yes, 2 = no"
